"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"OTHERS","2023-04-05","1410.96","1430.23","1395.83","1414.74","0.27 %","15,404,673.40","-"
"OTHERS","2023-04-04","1415.32","1424.83","1406.25","1410.96","-0.31 %","19,798,454.80","-"
"OTHERS","2023-04-03","1423.32","1435.59","1409.49","1415.32","-0.56 %","23,697,830.10","-"
"OTHERS","2023-04-02","1434.29","1460.44","1413.9","1423.32","-0.76 %","36,437,984.80","-"
"OTHERS","2023-03-30","1450.41","1468.56","1432.46","1434.29","-1.11 %","28,344,769.80","-"
"OTHERS","2023-03-29","1441.29","1455.36","1432.01","1450.41","0.63 %","18,980,520.10","-"
"OTHERS","2023-03-28","1462.19","1463.7","1433.91","1441.29","0.53 %","49,268,191.40","-"
"OTHERS","2023-03-27","1402.87","1441.3","1402.87","1433.67","0.94 %","36,544,891.60","-"
"OTHERS","2023-03-26","1424.37","1447.3","1411.06","1420.38","-0.28 %","25,408,005.80","-"
"OTHERS","2023-03-23","1439.5","1442.29","1419.99","1424.37","-1.05 %","21,135,506.40","-"
"OTHERS","2023-03-22","1455.18","1470.29","1429.97","1439.5","-0.49 %","42,516,086.10","-"
"OTHERS","2023-03-20","1416.31","1471.18","1416.31","1446.54","2.13 %","32,622,307.00","-"
"OTHERS","2023-03-19","1421.55","1435.06","1412.99","1416.31","-0.37 %","16,037,608.40","-"
"OTHERS","2023-03-16","1419.88","1459.01","1409.24","1421.55","0.12 %","22,669,952.90","-"
"OTHERS","2023-03-15","1425.08","1429.76","1412.12","1419.88","-0.36 %","21,222,195.40","-"
"OTHERS","2023-03-14","1418.87","1438.3","1414.55","1425.08","0.44 %","18,846,525.00","-"
"OTHERS","2023-03-13","1450.23","1450.23","1417.44","1418.87","-0.96 %","20,980,181.50","-"
"OTHERS","2023-03-12","1470.17","1470.17","1428.03","1432.61","-0.61 %","34,714,507.00","-"
"OTHERS","2023-03-09","1420.86","1445.1","1417.1","1441.43","2.21 %","27,806,885.40","-"
"OTHERS","2023-03-07","1400.29","1431.16","1394.78","1410.21","0.71 %","21,071,125.90","-"
"OTHERS","2023-03-05","1417.02","1445.1","1396.38","1400.29","-1.94 %","38,220,661.30","-"
"OTHERS","2023-03-02","1448.88","1460.56","1427.81","1428.04","-1.44 %","38,335,270.00","-"
"OTHERS","2023-03-01","1467.99","1480.21","1447.93","1448.88","-1.30 %","34,498,979.40","-"
"OTHERS","2023-02-28","1478.39","1500.52","1465.32","1467.99","-0.70 %","28,578,326.50","-"
